datetime,open,high,low,close,volume
2022-01-03T09:15:00+0530,35585.2,35703,35585.2,35694.45,0
2022-01-03T09:20:00+0530,35689.05,35696.85,35549.8,35560.45,0
2022-01-03T09:25:00+0530,35558.35,35624.65,35554.8,35600.85,0
2022-01-03T09:30:00+0530,35605.7,35624.85,35530.05,35612.15,0
2022-01-03T09:35:00+0530,35609.6,35675.35,35603.8,35664.5,0
2022-01-03T09:40:00+0530,35669.7,35669.7,35638.7,35651.35,0
2022-01-03T09:45:00+0530,35652.05,35773.55,35632.95,35770.8,0
2022-01-03T09:50:00+0530,35772.4,35816.55,35757.9,35807.3,0
2022-01-03T09:55:00+0530,35801.8,35813.15,35781.5,35800.5,0
2022-01-03T10:00:00+0530,35798,35854.2,35792.45,35854.2,0
2022-01-03T10:05:00+0530,35852.25,35852.25,35807.3,35826.25,0
2022-01-03T10:10:00+0530,35827.75,35846.65,35822.2,35823.9,0
2022-01-03T10:15:00+0530,35827.45,35829.25,35789.6,35814.95,0
2022-01-03T10:20:00+0530,35814.8,35868.9,35810.25,35864.15,0
2022-01-03T10:25:00+0530,35864.8,35897.9,35863.05,35891.6,0
2022-01-03T10:30:00+0530,35896.65,35946,35892,35912.55,0
2022-01-03T10:35:00+0530,35909.3,35918.65,35876.95,35876.95,0
2022-01-03T10:40:00+0530,35876.35,35903.6,35868.9,35876.75,0
2022-01-03T10:45:00+0530,35874.25,35888.65,35864.45,35872.25,0
2022-01-03T10:50:00+0530,35873,35877.55,35860.2,35865.6,0
2022-01-03T10:55:00+0530,35868.35,35917.05,35860.8,35898.8,0
2022-01-03T11:00:00+0530,35898.25,35916.95,35880.8,35890.6,0
2022-01-03T11:05:00+0530,35894.4,35910.7,35888.2,35891.2,0
2022-01-03T11:10:00+0530,35890.35,35958.6,35882.35,35958.6,0
2022-01-03T11:15:00+0530,35960.8,35984.75,35936.65,35980.25,0
2022-01-03T11:20:00+0530,35980.75,36000.4,35971.35,35988.25,0
2022-01-03T11:25:00+0530,35986.85,35993.45,35955.15,35959.5,0
2022-01-03T11:30:00+0530,35958.75,35959.7,35922,35922,0
2022-01-03T11:35:00+0530,35928.05,35950,35909.9,35922.4,0
2022-01-03T11:40:00+0530,35923.1,35977.55,35920.7,35963.8,0
2022-01-03T11:45:00+0530,35964.7,35967.05,35935.3,35941.7,0
2022-01-03T11:50:00+0530,35940.55,35955.45,35932.45,35952.35,0
2022-01-03T11:55:00+0530,35952.95,35974,35938.1,35974,0
2022-01-03T12:00:00+0530,35975.15,35983.95,35958.35,35959.7,0
2022-01-03T12:05:00+0530,35958.4,35983.1,35950.2,35963.5,0
2022-01-03T12:10:00+0530,35960.85,35989.5,35960.1,35986,0
2022-01-03T12:15:00+0530,35986.5,36038.8,35986.5,36037.95,0
2022-01-03T12:20:00+0530,36038.5,36057.6,36027.35,36056.6,0
2022-01-03T12:25:00+0530,36056,36071.35,36048.55,36070.3,0
2022-01-03T12:30:00+0530,36072.8,36091.55,36062.05,36062.7,0
2022-01-03T12:35:00+0530,36064.4,36094.85,36062.65,36089.9,0
2022-01-03T12:40:00+0530,36091.05,36137.2,36075.35,36117.5,0
2022-01-03T12:45:00+0530,36117.3,36172.75,36116.05,36164.5,0
2022-01-03T12:50:00+0530,36167.15,36171.05,36132.3,36152.2,0
2022-01-03T12:55:00+0530,36148.55,36148.55,36113.55,36128.1,0
2022-01-03T13:00:00+0530,36130.1,36154.35,36127.85,36139.55,0
2022-01-03T13:05:00+0530,36134.75,36149,36120.1,36136.25,0
2022-01-03T13:10:00+0530,36136.3,36181.5,36136.3,36164,0
2022-01-03T13:15:00+0530,36163.65,36192.4,36160.1,36163.8,0
2022-01-03T13:20:00+0530,36162.35,36204.6,36147.35,36178.1,0
2022-01-03T13:25:00+0530,36177.35,36206.05,36157.4,36192.2,0
2022-01-03T13:30:00+0530,36193.95,36197.5,36156.05,36194.85,0
2022-01-03T13:35:00+0530,36194.45,36196.4,36136.4,36140.55,0
2022-01-03T13:40:00+0530,36140.6,36159.5,36120,36150.15,0
2022-01-03T13:45:00+0530,36152.45,36222.8,36152.45,36214.2,0
2022-01-03T13:50:00+0530,36213.1,36250.8,36213.1,36229.95,0
2022-01-03T13:55:00+0530,36227.95,36234.05,36209,36224.85,0
2022-01-03T14:00:00+0530,36222.05,36266.45,36221.6,36237.05,0
2022-01-03T14:05:00+0530,36234.9,36280.95,36224.7,36274.8,0
2022-01-03T14:10:00+0530,36274.15,36302.45,36271.65,36291.75,0
